team1,team2,venue,city,toss_winner,toss_decision,winner
England,Pakistan,Sophia Gardens,Cardiff,Pakistan,bat,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,field,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,field,England
Bangladesh,England,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,England
Bangladesh,England,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,England
England,Pakistan,Riverside Ground,Chester-le-Street,Pakistan,field,England
England,Pakistan,Headingley,Leeds,Pakistan,bat,England
England,Pakistan,Kennington Oval,London,Pakistan,bat,Pakistan
England,Pakistan,Lord's,London,Pakistan,bat,Pakistan
England,Pakistan,The Rose Bowl,Southampton,England,bat,England
New Zealand,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Pakistan
New Zealand,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,New Zealand,bat,New Zealand
New Zealand,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,New Zealand,bat,New Zealand
New Zealand,Pakistan,Dubai International Cricket Stadium,,New Zealand,field,Pakistan
New Zealand,Pakistan,Dubai International Cricket Stadium,,Pakistan,bat,Pakistan
Australia,England,Adelaide Oval,,Australia,bat,England
Australia,England,Western Australia Cricket Association Ground,Perth,England,field,Australia
Australia,England,Melbourne Cricket Ground,,England,field,England
Australia,England,Sydney Cricket Ground,,Australia,bat,England
South Africa,Zimbabwe,Willowmoore Park,Benoni,Zimbabwe,field,South Africa
South Africa,Zimbabwe,SuperSport Park,Centurion,Zimbabwe,field,South Africa
India,Sri Lanka,Green Park,Kanpur,India,bat,India
India,Sri Lanka,Brabourne Stadium,Mumbai,Sri Lanka,bat,India
India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,field,Sri Lanka
India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Sri Lanka,bat,India
India,Sri Lanka,Madhavrao Scindia Cricket Ground,Rajkot,Sri Lanka,field,India
India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,bat,Sri Lanka
India,Sri Lanka,Barabati Stadium,Cuttack,Sri Lanka,bat,India
India,Sri Lanka,Eden Gardens,Kolkata,Sri Lanka,bat,India
Bangladesh,India,Shere Bangla National Stadium,Mirpur,Bangladesh,field,India
Kenya,New Zealand,"MA Chidambaram Stadium, Chepauk",Chennai,Kenya,bat,New Zealand
Sri Lanka,Canada,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,bat,Sri Lanka
Australia,Zimbabwe,"Sardar Patel Stadium, Motera",Ahmedabad,Australia,bat,Australia
England,Netherlands,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Netherlands,bat,England
Kenya,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Pakistan,bat,Pakistan
South Africa,West Indies,Feroz Shah Kotla,Delhi,South Africa,field,South Africa
Australia,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Australia,field,Australia
Bangladesh,Ireland,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Bangladesh
Sri Lanka,Pakistan,R Premadasa Stadium,Colombo,Pakistan,bat,Pakistan
Netherlands,West Indies,Feroz Shah Kotla,Delhi,Netherlands,field,West Indies
Canada,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Zimbabwe,bat,Zimbabwe
Sri Lanka,Kenya,R Premadasa Stadium,Colombo,Kenya,bat,Sri Lanka
England,Ireland,M Chinnaswamy Stadium,Bangalore,England,bat,Ireland
Netherlands,South Africa,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Netherlands,field,South Africa
Canada,Pakistan,R Premadasa Stadium,Colombo,Pakistan,bat,Pakistan
New Zealand,Zimbabwe,"Sardar Patel Stadium, Motera",Ahmedabad,Zimbabwe,bat,New Zealand
Bangladesh,West Indies,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,West Indies
India,Ireland,M Chinnaswamy Stadium,Bangalore,India,field,India
England,South Africa,"MA Chidambaram Stadium, Chepauk",Chennai,England,bat,England
Canada,Kenya,Feroz Shah Kotla,Delhi,Kenya,bat,Canada
New Zealand,Pakistan,Pallekele International Cricket Stadium,,New Zealand,bat,New Zealand
India,Netherlands,Feroz Shah Kotla,Delhi,Netherlands,bat,India
Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,,Zimbabwe,field,Sri Lanka
Ireland,West Indies,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Ireland,field,West Indies
Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Bangladesh
India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,bat,South Africa
Canada,New Zealand,Wankhede Stadium,Mumbai,Canada,field,New Zealand
Australia,Kenya,M Chinnaswamy Stadium,Bangalore,Australia,bat,Australia
Pakistan,Zimbabwe,Pallekele International Cricket Stadium,,Zimbabwe,bat,Pakistan
Bangladesh,Netherlands,Zahur Ahmed Chowdhury Stadium,Chittagong,Netherlands,bat,Bangladesh
Ireland,South Africa,Eden Gardens,Kolkata,Ireland,field,South Africa
Australia,Canada,M Chinnaswamy Stadium,Bangalore,Canada,bat,Australia
England,West Indies,"MA Chidambaram Stadium, Chepauk",Chennai,England,bat,England
New Zealand,Sri Lanka,Wankhede Stadium,Mumbai,Sri Lanka,bat,Sri Lanka
Ireland,Netherlands,Eden Gardens,Kolkata,Ireland,field,Ireland
Australia,Pakistan,R Premadasa Stadium,Colombo,Australia,bat,Pakistan
Bangladesh,South Africa,Shere Bangla National Stadium,Mirpur,South Africa,bat,South Africa
Kenya,Zimbabwe,Eden Gardens,Kolkata,Zimbabwe,bat,Zimbabwe
India,West Indies,"MA Chidambaram Stadium, Chepauk",Chennai,India,bat,India
Pakistan,West Indies,Shere Bangla National Stadium,Mirpur,West Indies,bat,Pakistan
India,Australia,"Sardar Patel Stadium, Motera",Ahmedabad,Australia,bat,India
New Zealand,South Africa,Shere Bangla National Stadium,Mirpur,New Zealand,bat,New Zealand
Sri Lanka,England,R Premadasa Stadium,Colombo,England,bat,Sri Lanka
Sri Lanka,New Zealand,R Premadasa Stadium,Colombo,New Zealand,bat,Sri Lanka
India,Pakistan,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,bat,India
India,Sri Lanka,Wankhede Stadium,Mumbai,Sri Lanka,bat,India
Bangladesh,India,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,India
Bangladesh,India,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,India
Bangladesh,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,Sri Lanka
India,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,Sri Lanka
Bangladesh,India,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,India
Bangladesh,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,Sri Lanka
India,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,bat,India
Bangladesh,India,Shere Bangla National Stadium,Mirpur,India,field,India
India,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,Sri Lanka
Netherlands,Kenya,Gymkhana Club Ground,Nairobi,Netherlands,bat,Kenya
West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Trinidad,Zimbabwe,bat,Zimbabwe
West Indies,Zimbabwe,Providence Stadium,Guyana,Zimbabwe,bat,Zimbabwe
West Indies,Zimbabwe,Providence Stadium,Guyana,Zimbabwe,bat,West Indies
West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",St Vincent,Zimbabwe,field,West Indies
West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",St Vincent,West Indies,field,West Indies
West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",St Vincent,West Indies,field,West Indies
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,South Africa
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,South Africa
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",Antigua,South Africa,bat,South Africa
West Indies,South Africa,"Windsor Park, Roseau",Dominica,South Africa,bat,South Africa
West Indies,South Africa,"Windsor Park, Roseau",Dominica,West Indies,bat,South Africa
West Indies,South Africa,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,bat,South Africa
West Indies,South Africa,"Queen's Park Oval, Port of Spain",Trinidad,South Africa,bat,South Africa
West Indies,South Africa,"Kensington Oval, Bridgetown",Barbados,West Indies,bat,South Africa
Canada,Netherlands,Dubai International Cricket Stadium,,Canada,bat,Netherlands
Canada,Kenya,Dubai International Cricket Stadium,,Kenya,field,Kenya
Ireland,Scotland,Dubai International Cricket Stadium,,Ireland,bat,Ireland
Ireland,Netherlands,Dubai International Cricket Stadium,,Ireland,bat,Ireland
England,Pakistan,Dubai International Cricket Stadium,,Pakistan,bat,England
England,Pakistan,Dubai International Cricket Stadium,,Pakistan,field,Pakistan
India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,South Africa,bat,South Africa
India,South Africa,Eden Gardens,Kolkata,South Africa,bat,India
India,South Africa,Sawai Mansingh Stadium,Jaipur,South Africa,field,India
India,South Africa,Captain Roop Singh Stadium,Gwalior,India,bat,India
India,South Africa,"Sardar Patel Stadium, Motera",Ahmedabad,South Africa,bat,South Africa
Australia,Sri Lanka,Western Australia Cricket Association Ground,Perth,Australia,bat,Sri Lanka
Australia,Sri Lanka,Melbourne Cricket Ground,,Australia,bat,Sri Lanka
Australia,Sri Lanka,Sydney Cricket Ground,,Sri Lanka,bat,Sri Lanka
Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Sri Lanka,bat,Australia
Australia,England,Adelaide Oval,,Australia,bat,England
Australia,England,Melbourne Cricket Ground,,Australia,bat,Australia
Australia,England,Melbourne Cricket Ground,,England,bat,Australia
Australia,England,Bellerive Oval,Hobart,England,field,Australia
Australia,England,Sydney Cricket Ground,,England,bat,Australia
Australia,England,Adelaide Oval,,England,bat,England
Australia,England,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,Australia
Australia,England,Sydney Cricket Ground,,England,bat,Australia
Australia,England,Western Australia Cricket Association Ground,Perth,Australia,bat,Australia
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,South Africa
Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Belfast,Ireland,bat,Bangladesh
Canada,Ireland,VRA Ground,Amstelveen,Canada,bat,Ireland
Zimbabwe,India,Queens Sports Club,Bulawayo,India,bat,Zimbabwe
India,Sri Lanka,Queens Sports Club,Bulawayo,India,field,India
Zimbabwe,Sri Lanka,Queens Sports Club,Bulawayo,Sri Lanka,field,Sri Lanka
Zimbabwe,India,Harare Sports Club,,Zimbabwe,field,Zimbabwe
India,Sri Lanka,Harare Sports Club,,Sri Lanka,field,Sri Lanka
Zimbabwe,Sri Lanka,Harare Sports Club,,Zimbabwe,field,Zimbabwe
Zimbabwe,Sri Lanka,Harare Sports Club,,Sri Lanka,field,Sri Lanka
Zimbabwe,India,Harare Sports Club,,India,field,India
Zimbabwe,India,Harare Sports Club,,India,field,India
Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,,Sri Lanka,bat,Sri Lanka
Bangladesh,India,Rangiri Dambulla International Stadium,,Bangladesh,bat,India
Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,,Sri Lanka,bat,Sri Lanka
India,Pakistan,Rangiri Dambulla International Stadium,,Pakistan,bat,India
Bangladesh,Pakistan,Rangiri Dambulla International Stadium,,Pakistan,bat,Pakistan
Sri Lanka,India,Rangiri Dambulla International Stadium,,Sri Lanka,field,Sri Lanka
Sri Lanka,India,Rangiri Dambulla International Stadium,,India,bat,India
India,New Zealand,Rangiri Dambulla International Stadium,,New Zealand,bat,New Zealand
Sri Lanka,India,Rangiri Dambulla International Stadium,,Sri Lanka,bat,India
Sri Lanka,New Zealand,Rangiri Dambulla International Stadium,,New Zealand,bat,Sri Lanka
India,New Zealand,Rangiri Dambulla International Stadium,,India,bat,India
Sri Lanka,India,Rangiri Dambulla International Stadium,,India,bat,Sri Lanka
Sri Lanka,India,Rangiri Dambulla International Stadium,,Sri Lanka,bat,Sri Lanka
Sri Lanka,India,Galle International Stadium,,Sri Lanka,bat,Sri Lanka
Sri Lanka,India,P Sara Oval,Colombo,Sri Lanka,bat,India
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,bat,New Zealand
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,bat,Sri Lanka
Bahamas,Bermuda,National Stadium,Hamilton,Bermuda,field,Bermuda
United States of America,Canada,National Stadium,Hamilton,Canada,field,Canada
Bermuda,Cayman Islands,National Stadium,Hamilton,Cayman Islands,field,Bermuda
Bermuda,United States of America,National Stadium,Hamilton,United States of America,field,United States of America
Argentina,United States of America,Sea Breeze Oval,Hamilton,United States of America,field,United States of America
Cayman Islands,Bermuda,National Stadium,Hamilton,Cayman Islands,bat,Bermuda
Bermuda,Bahamas,National Stadium,Hamilton,Bahamas,field,Bermuda
Bermuda,United States of America,National Stadium,Hamilton,United States of America,field,United States of America
Canada,United States of America,National Stadium,Hamilton,United States of America,field,United States of America
Pakistan,South Africa,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,South Africa
Pakistan,South Africa,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,South Africa
Pakistan,South Africa,Sheikh Zayed Stadium,Abu Dhabi,South Africa,bat,Pakistan
Pakistan,South Africa,Dubai International Cricket Stadium,,Pakistan,field,South Africa
Pakistan,South Africa,Dubai International Cricket Stadium,,South Africa,bat,Pakistan
Pakistan,South Africa,Dubai International Cricket Stadium,,South Africa,bat,South Africa
South Africa,Zimbabwe,OUTsurance Oval,Bloemfontein,Zimbabwe,bat,South Africa
South Africa,Zimbabwe,De Beers Diamond Oval,Kimberley,South Africa,bat,South Africa
South Africa,Zimbabwe,OUTsurance Oval,Bloemfontein,South Africa,bat,South Africa
South Africa,Zimbabwe,Senwes Park,Potchefstroom,Zimbabwe,bat,South Africa
South Africa,Zimbabwe,Willowmoore Park,Benoni,South Africa,bat,South Africa
South Africa,India,SuperSport Park,Centurion,South Africa,field,South Africa
South Africa,India,Kingsmead,Durban,South Africa,field,India
South Africa,India,Moses Mabhida Stadium,Durban,India,bat,India
South Africa,India,Kingsmead,Durban,South Africa,bat,South Africa
South Africa,India,New Wanderers Stadium,Johannesburg,India,bat,India
South Africa,India,Newlands,Cape Town,South Africa,bat,India
South Africa,India,St George's Park,Port Elizabeth,South Africa,bat,South Africa
South Africa,India,SuperSport Park,Centurion,India,field,South Africa
India,Australia,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Australia,bat,India
India,Australia,M Chinnaswamy Stadium,Bangalore,Australia,bat,India
India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,field,India
India,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,New Zealand,bat,India
Ireland,Netherlands,Clontarf Cricket Club Ground,Dublin,Netherlands,bat,Ireland
Canada,Ireland,"Toronto Cricket, Skating and Curling Club",Toronto,Ireland,bat,Canada
Sri Lanka,West Indies,Sinhalese Sports Club Ground,Colombo,Sri Lanka,field,Sri Lanka
Sri Lanka,West Indies,Sinhalese Sports Club Ground,Colombo,West Indies,field,Sri Lanka
Italy,Argentina,Ovale di Rastignano,Pianoro,Italy,bat,Italy
Argentina,Nepal,Centro Sportivo Dozza,Navile,Argentina,bat,Nepal
Argentina,United States of America,Ovale di Rastignano,Pianoro,United States of America,bat,United States of America
Cayman Islands,Nepal,Centro Sportivo Ca'Nova,Medicina,Cayman Islands,bat,Nepal
Italy,Tanzania,Centro Sportivo Dozza,Navile,Italy,bat,Italy
Italy,United States of America,Ovale di Rastignano,Pianoro,Italy,bat,United States of America
Argentina,Cayman Islands,Centro Sportivo Dozza,Navile,Argentina,bat,Cayman Islands
India,New Zealand,Nehru Stadium,Guwahati,New Zealand,field,India
India,New Zealand,Sawai Mansingh Stadium,Jaipur,India,field,India
India,New Zealand,Reliance Stadium,Vadodara,India,field,India
India,New Zealand,M Chinnaswamy Stadium,Bangalore,India,field,India
India,New Zealand,"MA Chidambaram Stadium, Chepauk",Chennai,New Zealand,bat,India
Nepal,United States of America,Ovale di Rastignano,Pianoro,United States of America,bat,United States of America
New Zealand,Pakistan,Eden Park,Auckland,New Zealand,field,New Zealand
New Zealand,Pakistan,Seddon Park,Hamilton,Pakistan,field,New Zealand
New Zealand,Pakistan,AMI Stadium,Christchurch,Pakistan,bat,Pakistan
New Zealand,Pakistan,Seddon Park,Hamilton,Pakistan,field,Pakistan
New Zealand,Pakistan,Westpac Stadium,Wellington,Pakistan,bat,New Zealand
New Zealand,Pakistan,AMI Stadium,Christchurch,New Zealand,field,Pakistan
New Zealand,Pakistan,McLean Park,Napier,New Zealand,bat,Pakistan
New Zealand,Pakistan,Seddon Park,Hamilton,New Zealand,field,Pakistan
New Zealand,Pakistan,Eden Park,Auckland,Pakistan,field,New Zealand
England,Sri Lanka,Sophia Gardens,Cardiff,Sri Lanka,bat,England
England,Sri Lanka,County Ground,Bristol,Sri Lanka,field,Sri Lanka
England,Sri Lanka,Kennington Oval,London,Sri Lanka,field,England
England,Sri Lanka,Headingley,Leeds,England,field,Sri Lanka
England,Sri Lanka,Lord's,London,England,bat,Sri Lanka
England,Sri Lanka,Trent Bridge,Nottingham,England,field,England
England,Sri Lanka,Old Trafford,Manchester,England,bat,England
England,India,Lord's,London,India,field,England
England,India,Trent Bridge,Nottingham,India,field,England
England,India,Edgbaston,Birmingham,England,field,England
England,India,Kennington Oval,London,England,bat,England
England,India,Old Trafford,Manchester,India,bat,England
England,India,The Rose Bowl,Southampton,England,field,England
England,India,Kennington Oval,London,England,field,England
England,India,Sophia Gardens,Cardiff,England,field,England
Bangladesh,New Zealand,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Bangladesh
Bangladesh,New Zealand,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Bangladesh
Bangladesh,New Zealand,Shere Bangla National Stadium,Mirpur,New Zealand,field,Bangladesh
Bangladesh,New Zealand,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Bangladesh
Pakistan,South Africa,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,South Africa
Ireland,England,Clontarf Cricket Club Ground,Dublin,Ireland,field,England
Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Zimbabwe
Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Bangladesh
Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,Zimbabwe,field,Bangladesh
Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Chittagong,Zimbabwe,bat,Bangladesh
West Indies,Pakistan,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,bat,West Indies
West Indies,Pakistan,"Beausejour Stadium, Gros Islet",St Lucia,West Indies,bat,Pakistan
West Indies,Pakistan,"Beausejour Stadium, Gros Islet",St Lucia,Pakistan,field,Pakistan
West Indies,Pakistan,"Kensington Oval, Bridgetown",Barbados,Pakistan,field,Pakistan
West Indies,Pakistan,"Kensington Oval, Bridgetown",Barbados,West Indies,field,West Indies
West Indies,Pakistan,Providence Stadium,Guyana,Pakistan,bat,West Indies
West Indies,Pakistan,Providence Stadium,Guyana,West Indies,bat,West Indies
West Indies,Pakistan,"Warner Park, Basseterre",St Kitts,Pakistan,bat,Pakistan
West Indies,India,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,India
West Indies,India,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,bat,India
West Indies,India,"Queen's Park Oval, Port of Spain",Trinidad,India,field,India
West Indies,India,"Sir Vivian Richards Stadium, North Sound",Antigua,India,field,India
West Indies,India,"Sir Vivian Richards Stadium, North Sound",Antigua,India,field,West Indies
West Indies,India,"Sabina Park, Kingston",Jamaica,West Indies,field,West Indies
West Indies,India,"Sabina Park, Kingston",Jamaica,India,bat,India
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Kochi,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Mumbai Indians
Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,Mumbai,Kings XI Punjab,bat,Pune Warriors
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Delhi Daredevils,bat,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Mumbai,Kochi Tuskers Kerala,bat,Pune Warriors
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Mumbai,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,Kochi,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Delhi,Deccan Chargers,bat,Deccan Chargers
Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai,Pune Warriors,bat,Mumbai Indians
Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Chennai Super Kings,field,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Kings XI Punjab,field,Delhi Daredevils
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Mumbai Indians
Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,Pune Warriors,field,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,Pune Warriors,bat,Chennai Super Kings
Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,Kochi,Kochi Tuskers Kerala,field,Deccan Chargers
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Bangalore,Pune Warriors,field,Royal Challengers Bangalore
Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,Kochi,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,Kings XI Punjab,field,Mumbai Indians
Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Kolkata Knight Riders
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,Chennai Super Kings
Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Pune Warriors,field,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kochi,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Chennai Super Kings,bat,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Mumbai Indians
Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Pune Warriors
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Chennai Super Kings
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Pune Warriors
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,Kings XI Punjab
